Linux 7.1.12-200.fc44.x86_64 (fedora) 	06/09/26 	_x86_64_	(16 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:00:43 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5    482.00      0.00 2918908   48036   0.30  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:00:44 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5    278.00      0.00 2918908   49444   0.31  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:00:45 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5    485.00      0.00 2918908   50980   0.32  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:00:46 PM IST  1000     37042    2.00    0.00    0.00    0.00    2.00     5    449.00      0.00 2918972   52772   0.33  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:00:47 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5     10.00      0.00 2918972   52772   0.33  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:00:48 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      7.00      0.00 2918972   53028   0.33  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:00:49 PM IST  1000     37042    2.00    0.00    0.00    0.00    2.00     5      7.00      0.00 2918972   53028   0.33  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:00:50 PM IST  1000     37042    1.00    1.00    0.00    0.00    2.00     5      7.00      0.00 2918972   53028   0.33  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:00:51 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      6.00      0.00 2918972   53028   0.33  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:00:52 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      7.00      0.00 2918972   53156   0.33  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:00:53 PM IST  1000     37042    2.00    0.00    0.00    0.00    2.00     5      8.00      0.00 2918972   53156   0.33  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:00:54 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      8.00      0.00 2918972   53156   0.33  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:00:55 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5     10.00      0.00 2918972   53156   0.33  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:00:56 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5     10.00      0.00 2918972   53156   0.33  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:00:57 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      8.00      0.00 2918972   53156   0.33  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:00:58 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5     35.00      0.00 2919036   53284   0.33  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:00:59 PM IST  1000     37042    2.00    1.00    0.00    0.00    3.00     5     53.00      0.00 2919108   53412   0.33  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:01:00 PM IST  1000     37042    2.00    0.00    0.00    0.00    2.00     5     10.00      0.00 2919108   53412   0.33  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:01:01 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5     18.00      0.00 2919108   53540   0.34  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:01:02 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5     42.00      0.00 2919108   53796   0.34  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:01:03 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5     11.00      0.00 2919108   53796   0.34  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:01:04 PM IST  1000     37042    1.00    1.00    0.00    0.00    2.00     5     16.00      0.00 2919108   53796   0.34  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:01:05 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      7.00      0.00 2919108   53796   0.34  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:01:06 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      7.00      0.00 2919108   53796   0.34  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:01:07 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      7.00      0.00 2919108   53796   0.34  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:01:08 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      6.00      0.00 2919108   53924   0.34  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:01:09 PM IST  1000     37042    1.00    1.00    0.00    0.00    2.00     5     12.00      0.00 2919108   53924   0.34  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:01:10 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      7.00      0.00 2919108   53924   0.34  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:01:11 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5     42.00      0.00 2919108   54180   0.34  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:01:12 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5     21.00      0.00 2919108   54308   0.34  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:01:13 PM IST  1000     37042    2.00    0.00    0.00    0.00    2.00     5    144.00      0.00 2919172   54820   0.34  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:01:14 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      9.00      0.00 2919172   54820   0.34  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:01:15 PM IST  1000     37042    2.00    0.00    0.00    0.00    2.00     5      6.00      0.00 2919172   54820   0.34  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:01:16 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      6.00      0.00 2919172   54820   0.34  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:01:17 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      7.00      0.00 2919172   54820   0.34  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:01:18 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      5.00      0.00 2919172   54820   0.34  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:01:19 PM IST  1000     37042    1.00    1.00    0.00    0.00    2.00     5      6.00      0.00 2919172   54820   0.34  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:01:20 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      6.00      0.00 2919172   54948   0.34  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:01:21 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      6.00      0.00 2919172   54948   0.34  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:01:22 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      5.00      0.00 2919172   54948   0.34  race-control

